Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,SQ_INSTS_VALU_ADD_F16,SQ_INSTS_VALU_MUL_F16,SQ_INSTS_VALU_FMA_F16,SQ_INSTS_VALU_TRANS_F16,SQ_INSTS_VALU_ADD_F32,SQ_INSTS_VALU_MUL_F32,SQ_INSTS_VALU_FMA_F32,SQ_INSTS_VALU_TRANS_F32,SQ_INSTS_VALU_ADD_F64,SQ_INSTS_VALU_MUL_F64,SQ_INSTS_VALU_FMA_F64,SQ_INSTS_VALU_TRANS_F64,SQ_INSTS_VALU_MFMA_MOPS_F16,SQ_INSTS_VALU_MFMA_MOPS_BF16,SQ_INSTS_VALU_MFMA_MOPS_F32,SQ_INSTS_VALU_MFMA_MOPS_F64,TCC_EA_RDREQ_32B_sum,TCC_EA_RDREQ_sum,TCC_EA_WRREQ_sum,TCC_EA_WRREQ_64B_sum,DispatchNs,BeginNs,EndNs,CompleteNs
52,"jai_tend_z_kernel_5bb5bc00_device.kd",0,0,65,51902,51902,5100,1,0,0,40,0,48,64,0x0,0x7f82da884700,0,0,0,0,0,0,0,0,453900,224400,892500,107100,0,0,0,0,0.0000000000,302.0000000000,0.0000000000,0.0000000000,2433892754629413,2433892746773279,2433892754777921,2433892754779384
53,"jai_tend_z_calc_kernel_358fed00_device.kd",0,0,66,51902,51902,20000,1,0,0,12,4,32,64,0x0,0x7f82da824680,0,0,0,0,0,0,0,0,20000,20000,125000,20000,0,0,0,0,0.0000000000,64.0000000000,0.0000000000,0.0000000000,2433892759140374,2433892754777921,2433892759289282,2433892759290386
54,"jai_tend_apply_kernel_d7ff7600_device.kd",0,0,67,51902,51902,20000,1,0,0,4,4,32,64,0x0,0x7f82fb708700,0,0,0,0,0,0,0,0,0,0,20000,0,0,0,0,0,0.0000000000,16.0000000000,0.0000000000,0.0000000000,2433892764274636,2433892759289282,2433892764424964,2433892764426241
55,"jai_halo_z_kernel_ccb89300_device.kd",0,0,68,51902,51902,416,1,0,0,16,0,32,64,0x0,0x7f82da80c600,0,0,0,0,0,0,0,0,0,832,2496,416,0,0,0,0,0.0000000000,24.0000000000,0.0000000000,0.0000000000,2433892766719397,2433892764424964,2433892766824644,2433892766825867
56,"jai_tend_z_kernel_f4c1ba00_device.kd",0,0,69,51902,51902,5100,1,0,0,40,0,48,64,0x0,0x7f81da388700,0,0,0,0,0,0,0,0,453900,224400,892500,107100,0,0,0,0,0.0000000000,217.0000000000,0.0000000000,0.0000000000,2433892778588786,2433892766824644,2433892778744328,2433892778745731
57,"jai_tend_z_calc_kernel_3f2cf200_device.kd",0,0,70,51902,51902,20000,1,0,0,12,4,32,64,0x0,0x7f82da804680,0,0,0,0,0,0,0,0,20000,20000,125000,20000,0,0,0,0,0.0000000000,9.0000000000,0.0000000000,0.0000000000,2433892783058460,2433892778744328,2433892783210089,2433892783211497
58,"jai_tend_apply_kernel_d7ff7600_device.kd",0,0,71,51902,51902,20000,1,0,0,4,4,32,64,0x0,0x7f82fb708700,0,0,0,0,0,0,0,0,0,0,20000,0,0,0,0,0,0.0000000000,11.0000000000,0.0000000000,0.0000000000,2433892788197901,2433892783210089,2433892788353931,2433892788355237
59,"jai_halo_z_kernel_ccb89300_device.kd",0,0,72,51902,51902,416,1,0,0,16,0,32,64,0x0,0x7f82da80c600,0,0,0,0,0,0,0,0,0,832,2496,416,0,0,0,0,0.0000000000,9.0000000000,0.0000000000,0.0000000000,2433892790624689,2433892788353931,2433892790729451,2433892790730688
60,"jai_tend_z_kernel_f4c1ba00_device.kd",0,0,73,51902,51902,5100,1,0,0,40,0,48,64,0x0,0x7f81da388700,0,0,0,0,0,0,0,0,453900,224400,892500,107100,0,0,0,0,0.0000000000,9.0000000000,0.0000000000,0.0000000000,2433892798579537,2433892790729451,2433892798727054,2433892798728337
61,"jai_tend_z_calc_kernel_3f2cf200_device.kd",0,0,74,51902,51902,20000,1,0,0,12,4,32,64,0x0,0x7f82da804680,0,0,0,0,0,0,0,0,20000,20000,125000,20000,0,0,0,0,0.0000000000,9.0000000000,0.0000000000,0.0000000000,2433892803039753,2433892798727054,2433892803187375,2433892803188573
62,"jai_tend_apply_kernel_9c75d800_device.kd",0,0,75,51902,51902,20000,1,0,0,4,4,32,64,0x0,0x7f82da8b6700,0,0,0,0,0,0,0,0,0,0,20000,0,0,0,0,0,0.0000000000,11.0000000000,0.0000000000,0.0000000000,2433892808147004,2433892803187375,2433892808295857,2433892808297126
63,"jai_tend_x_kernel_2bdfba00_device.kd",0,0,77,51902,51902,5050,1,0,0,44,4,48,64,0x0,0x7f83019d86c0,0,0,0,0,0,0,0,0,444400,222200,883750,106050,0,0,0,0,0.0000000000,2684.0000000000,2529.0000000000,2524.0000000000,2433892826006513,2433892808295709,2433892826161314,2433892826167595
64,"jai_tend_x_calc_kernel_fa76b200_device.kd",0,0,78,51902,51902,20000,1,0,0,12,4,32,64,0x0,0x7f83019d4640,0,0,0,0,0,0,0,0,20000,20000,120000,20000,0,0,0,0,0.0000000000,2544.0000000000,0.0000000000,0.0000000000,2433892829480797,2433892826161314,2433892829604834,2433892829606102
65,"jai_tend_apply_kernel_d7ff7600_device.kd",0,0,79,51902,51902,20000,1,0,0,4,4,32,64,0x0,0x7f82fb708700,0,0,0,0,0,0,0,0,0,0,20000,0,0,0,0,0,0.0000000000,2510.0000000000,0.0000000000,0.0000000000,2433892834596444,2433892829604834,2433892834748036,2433892834749281
66,"jai_tend_x_kernel_ee17c700_device.kd",0,0,81,51902,51902,5050,1,0,0,44,4,48,64,0x0,0x7f82fb6dc6c0,0,0,0,0,0,0,0,0,444400,222200,883750,106050,0,0,0,0,0.0000000000,2685.0000000000,2529.0000000000,2524.0000000000,2433892852369410,2433892834748036,2433892852522761,2433892852524451
67,"jai_tend_x_calc_kernel_fa76b200_device.kd",0,0,82,51902,51902,20000,1,0,0,12,4,32,64,0x0,0x7f83019d4640,0,0,0,0,0,0,0,0,20000,20000,120000,20000,0,0,0,0,0.0000000000,2538.0000000000,0.0000000000,0.0000000000,2433892855824508,2433892852522761,2433892855948202,2433892855949593
68,"jai_tend_apply_kernel_d7ff7600_device.kd",0,0,83,51902,51902,20000,1,0,0,4,4,32,64,0x0,0x7f82fb708700,0,0,0,0,0,0,0,0,0,0,20000,0,0,0,0,0,0.0000000000,5110.0000000000,0.0000000000,0.0000000000,2433892860964380,2433892855948202,2433892861113324,2433892861114693
